display_name,training_phrase
Complex transfer,I need to transfer $300
Complex transfer,I need to transfer money from my source account ***332
Complex transfer,"I want to do a transfer, please"
Complex transfer,I want to make a transfer of 600 usd and register the following memo: this is for the children's vacations.
Complex transfer,I want to transfer $500
Complex transfer,"I want to transfer 300 usd to my savings account, and memo that it's for my children school"
Complex transfer,I want to transfer money from my account vacations to the savings account
Complex transfer,"Transfer 3004 from my school account to my house account, and memo it"
Complex transfer,Transfer 500 bucks and save it with the following note: this is for my brother
Complex transfer,"Transfer 500 usd from my salary account to my school account, create a memo: it's for the kids university"
Complex transfer,Transfer money $100
Complex transfer,make a transfer of 400 and save the following memo: it is for the vacations
Complex transfer,please make a memo with the following: I want to make a transfer of 500 usd
Complex transfer,please transfer 543 dollars and 11 cents
Complex transfer,transfer 300 to my savings account and add this memo: this is to buy a new car
Complex transfer,transfer 400 usd and store it as a memo
Complex transfer,transfer 500 to charly and save it as a memo
Complex transfer,"transfer money to my savings account and add the memo, it is for my gym classes"
Custom Event Button,I want to see the button
Custom Event Button,button
Custom Event Button,button please
Custom Event Button,the button please
Custom Event List,I want to see the list
Custom Event List,list please
Custom Event List,show me the list please
Custom Event List,the list please
Custom Event Test,I want to test custom events
Custom Event Test,custom events please
Custom Event Test,show me custom events cases
Default Negative Intent,Any offers?
Default Negative Intent,Can I add a second card holder
Default Negative Intent,Can I close my account
Default Negative Intent,Close account
Default Negative Intent,I have a complaint
Default Negative Intent,I have moved
Default Negative Intent,I want to buy a car
Default Negative Intent,I want to change my direct debit
Default Negative Intent,I want to move my accounts to you
Default Negative Intent,I want to open up a 401K
Default Negative Intent,I want to opt out of marketing material
Default Negative Intent,I'd like to cancel my credit card
Default Negative Intent,I'd like to sign up for a new credit card
Default Negative Intent,New promotions
Default Negative Intent,Open a Checking Account
Default Negative Intent,Sign up for new card
Default Negative Intent,Still haven't received my refund
Default Negative Intent,You haven't been very helpful
Default Negative Intent,can I use my credit card abroad
Default Negative Intent,do you hire?
Default Negative Intent,do you offer 401k
Default Negative Intent,how to update my address
Default Negative Intent,what are your savings rates
Default Negative Intent,what insurance products do you offer
Default Negative Intent,what's your current loan rate
Default Welcome Intent,Hi
Default Welcome Intent,I greet you
Default Welcome Intent,I have a query
Default Welcome Intent,I have a question
Default Welcome Intent,I need some help
Default Welcome Intent,I was wondering whether you can help me
Default Welcome Intent,a good day
Default Welcome Intent,can you assist me with a query I have
Default Welcome Intent,can you help me with a query that I have
Default Welcome Intent,greetings
Default Welcome Intent,hello
Default Welcome Intent,hello again
Default Welcome Intent,hello hi
Default Welcome Intent,hello there
Default Welcome Intent,hey
Default Welcome Intent,hey there
Default Welcome Intent,heya
Default Welcome Intent,hi
Default Welcome Intent,hi there
Default Welcome Intent,howdy
Default Welcome Intent,just going to say hi
Default Welcome Intent,long time no see
Default Welcome Intent,lovely day isn't it
Default Welcome Intent,what can you do?
Default Welcome Intent,what can you help me with
Default Welcome Intent,what do you do?
accountApplicationStatus,I have recently applied for a new credit card. i would like to know the status of that
accountApplicationStatus,applications status
accountApplicationStatus,applied for credit card last week but no decision yet? checking status
accountApplicationStatus,applied for credit card what's the status?
accountApplicationStatus,applied for refinance. can you tell me status?
accountApplicationStatus,can i ask the status of my card application
accountApplicationStatus,can u check the status of my cc i applied for
accountApplicationStatus,can you check the status of my everyday checking acc application
accountApplicationStatus,can you help me check my status for applying credit card?
accountApplicationStatus,can you help me check my status for applying my credit card?
accountApplicationStatus,can you help me checking status for applying credit card?
accountApplicationStatus,can you tell me my credit card application status
accountApplicationStatus,check application status
accountApplicationStatus,check credit application status
accountApplicationStatus,check on status of application for credit card
accountApplicationStatus,check status application
accountApplicationStatus,check status of a credit card application
accountApplicationStatus,check status of an application
accountApplicationStatus,check status of card application
accountApplicationStatus,check status on credit application
accountApplicationStatus,check status on credit card application
accountApplicationStatus,checking on status of application
accountApplicationStatus,could i check on the status of a credit card i applied for?
accountApplicationStatus,could i check on the status of a credit card i applied to
accountApplicationStatus,credit card application status.
accountApplicationStatus,find out status of credit card application
accountApplicationStatus,good morning i just wanted to verify the status of my credit card application?
accountApplicationStatus,hello i applied for a credit card on 10/20 and have not heard anything. i wanting to check on the status of my application
accountApplicationStatus,hello i applied on line already and i am wanting to see thw status of it. i never received an email.
accountApplicationStatus,hello i wanted to check the application status on my credit card application
accountApplicationStatus,hi i had applied for a credit card. i just wanted to check the status on that please
accountApplicationStatus,hos to check status of my credit card application
accountApplicationStatus,how can i check my application status online?
accountApplicationStatus,how can i see my status for an application i sent in
accountApplicationStatus,how do i check my credit card application status
accountApplicationStatus,how do i check the status of a new account application?
accountApplicationStatus,how do i find out my credit card application status?
accountApplicationStatus,how do i find out the status off an credit card application
accountApplicationStatus,how long does it take to find out your approval status on a credit card you applied for?
accountApplicationStatus,how long does it take to processing credit card. when you applied to.
accountApplicationStatus,how to see credit card application status
accountApplicationStatus,i am checking on the status of my credit card application.
accountApplicationStatus,i am john just want to follow up the status of my credit card application?
accountApplicationStatus,i am trying to check on the status of my loan application
accountApplicationStatus,i am trying to find out the status of my credit card application?
accountApplicationStatus,i am trying to know my application status as it said within minutes you get to know that you are approved or not
accountApplicationStatus,i applied a credit card on 6 days ago haven't hear anything back so far just wanna check processing status
accountApplicationStatus,i applied for a 100 dollars credit card just wanted to see what the status was
accountApplicationStatus,i applied for a cash wise credit card with no interest for 15 months and i was inquiring on the status of it
accountApplicationStatus,i applied for a college credit card and just checking on my status
accountApplicationStatus,i applied for a college credit card and was wondering the status
accountApplicationStatus,i applied for a credit card and i'm trying to see my status
accountApplicationStatus,i applied for a credit card and received an email saying my application was received. i never received another email telling me the status of my application.
accountApplicationStatus,i applied for a credit card and wanted to know the status
accountApplicationStatus,i applied for a credit card and was trying to check the status on it
accountApplicationStatus,i applied for a credit card and was wanting to check the status of my application.
accountApplicationStatus,i applied for a credit card and was wanting to check the status.
accountApplicationStatus,i applied for a credit card last week and wanted to know the status
accountApplicationStatus,i applied for a credit card last week. how do i check on the status of that?
accountApplicationStatus,i applied for a credit card with y'all and was wondering how long the application takes to approve or deny.
accountApplicationStatus,i applied for a credit card yesterday and i want to know the status of it
accountApplicationStatus,i applied for a loan and want to check on the status of the decision
accountApplicationStatus,i applied for a loan and wanted to check the status
accountApplicationStatus,i applied for a loan on the 13th any idea when i'll get a answer back?
accountApplicationStatus,i applied for a loan yesterday and still have not received a call about it. when am i going to find out if i have been approved or not?
accountApplicationStatus,i applied for a secure credit card yesterday i was just curious about how long it will take to get status?
accountApplicationStatus,i applied for a secured credit card and i am checking the status
accountApplicationStatus,i applied for a student card and was wondering if you could tell me the status
accountApplicationStatus,i applied for a student credit card recently and wanted to make sure that the application went through and if so what the status on it is?
accountApplicationStatus,i applied for a wells fargo credit card a few days ago. where can i check the status?
accountApplicationStatus,i applied for a wells fargo credit card and have not heard back from anyone of the status of my card
accountApplicationStatus,i applied for assistance due to covid and my account is showing past due. can you please advise the status?
accountApplicationStatus,i applied for the wf credit card and it said that it was still pending. do you know the status of that?
accountApplicationStatus,i applied to a creditcard last night and would like to know the status?
accountApplicationStatus,i currently applied for a loan through you guys and i just wanted to check the status of my application
accountApplicationStatus,i filled out credit card application. what's the status
accountApplicationStatus,i had applied for a credit card and wanted to know the status of that
accountApplicationStatus,i had applied for a credit card and wanted to know the status of that please
accountApplicationStatus,i just applied for credit card i want to know what's the status
